,precision,recall,f1-score,support
bird,0.9824046920821115,0.8131067961165048,0.8897742363877822,412.0
boar,0.9590443686006825,0.6904176904176904,0.8028571428571428,407.0
dog,0.9113924050632911,0.6666666666666666,0.7700534759358288,432.0
dragon,0.9680851063829787,0.7459016393442623,0.8425925925925926,488.0
hare,0.9783950617283951,0.6846652267818575,0.8055908513341804,463.0
horse,0.9963636363636363,0.7191601049868767,0.8353658536585366,381.0
monkey,0.9885057471264368,0.7006109979633401,0.8200238379022646,491.0
neutral,0.8601398601398601,0.7015209125475285,0.7727748691099476,526.0
ox,0.9842105263157894,0.7648261758691206,0.8607594936708861,489.0
ram,0.9969040247678018,0.6778947368421052,0.8070175438596491,475.0
rat,0.9630681818181818,0.70625,0.8149038461538461,480.0
serpent,0.959731543624161,0.6958637469586375,0.8067700987306065,411.0
shadow,0.2205361659079413,0.9732142857142857,0.3595876288659794,448.0
tiger,0.9525222551928784,0.6888412017167382,0.7995018679950187,466.0
accuracy,0.730098916627414,0.730098916627414,0.730098916627414,0.730098916627414
macro avg,0.9086645410795818,0.7306385844232581,0.7848266670753045,6369.0
weighted avg,0.9084371979039104,0.730098916627414,0.784772582820807,6369.0
